Air Ronge	Saskatchewan	Canada	ca	105882830	-7:00	X
Aquadeo	Saskatchewan	Canada	ca	105886510	-7:00	X
Battleford	Saskatchewan	Canada	ca	105895070	-7:00	X
Beauval	Saskatchewan	Canada	ca	105896578	-7:00	X
Big River	Saskatchewan	Canada	ca	105900745	-7:00	X
Buffalo Narrows	Saskatchewan	Canada	ca	105910853	-7:00	X
Chitek Lake	Saskatchewan	Canada	ca	105921660	-7:00	X
Cochin	Saskatchewan	Canada	ca	105924609	-7:00	X
Cole Bay	Saskatchewan	Canada	ca	105925102	-7:00	X
Cut Knife	Saskatchewan	Canada	ca	105934305	-7:00	X
Delmas	Saskatchewan	Canada	ca	105937569	-7:00	X
Denzil	Saskatchewan	Canada	ca	105937943	-7:00	X
Dorintosh	Saskatchewan	Canada	ca	105941811	-7:00	X
Edam	Saskatchewan	Canada	ca	105946523	-7:00	X
Glaslyn	Saskatchewan	Canada	ca	105961742	-7:00	X
Goodsoil	Saskatchewan	Canada	ca	105962967	-7:00	X
Green Lake	Saskatchewan	Canada	ca	105966373	-7:00	X
Ile-a-la-Crosse	Saskatchewan	Canada	ca	105979575	-7:00	X
Jans Bay	Saskatchewan	Canada	ca	105985768	-7:00	X
Kivimaa-Moonlight Bay	Saskatchewan	Canada	ca	105993208	-7:00	X
La Loche	Saskatchewan	Canada	ca	106048854	-7:00	X
La Ronge	Saskatchewan	Canada	ca	106050066	-7:00	X
Lashburn	Saskatchewan	Canada	ca	106050230	-7:00	X
Leoville	Saskatchewan	Canada	ca	106052441	-7:00	X
Lloydminster	Saskatchewan	Canada	ca	106058024	-7:00	X
Loon Lake	Saskatchewan	Canada	ca	106060139	-7:00	X
Luseland	Saskatchewan	Canada	ca	106062129	-7:00	X
Macklin	Saskatchewan	Canada	ca	106063429	-7:00	X
Maidstone	Saskatchewan	Canada	ca	106064356	-7:00	X
Marsden	Saskatchewan	Canada	ca	106066752	-7:00	X
Marshall	Saskatchewan	Canada	ca	106066765	-7:00	X
Meadow Lake	Saskatchewan	Canada	ca	106071421	-7:00	X
Medstead	Saskatchewan	Canada	ca	106071660	-7:00	X
Meota	Saskatchewan	Canada	ca	106072150	-7:00	X
Mervin	Saskatchewan	Canada	ca	106072398	-7:00	X
Neilburg	Saskatchewan	Canada	ca	106086743	-7:00	X
North Battleford	Saskatchewan	Canada	ca	106089404	-7:00	X
Paradise Hill	Saskatchewan	Canada	ca	106096750	-7:00	X
Paynton	Saskatchewan	Canada	ca	106100007	-7:00	X
Pierceland	Saskatchewan	Canada	ca	106104287	-7:00	X
Pinehouse	Saskatchewan	Canada	ca	106105000	-7:00	X
Spiritwood	Saskatchewan	Canada	ca	106153770	-7:00	X
St. Walburg	Saskatchewan	Canada	ca	106158673	-7:00	X
Turtleford	Saskatchewan	Canada	ca	106170584	-7:00	X
Unity	Saskatchewan	Canada	ca	106172009	-7:00	X
Waseca	Saskatchewan	Canada	ca	106176467	-7:00	X
Abernethy	Saskatchewan	Canada	ca	105881891	-6:00	X
Alameda	Saskatchewan	Canada	ca	105883027	-6:00	X
Annaheim	Saskatchewan	Canada	ca	105885398	-6:00	X
Arborfield	Saskatchewan	Canada	ca	105886559	-6:00	X
Archerwill	Saskatchewan	Canada	ca	105886628	-6:00	X
Arcola	Saskatchewan	Canada	ca	105886730	-6:00	X
Avonlea	Saskatchewan	Canada	ca	105888569	-6:00	X
Balcarres	Saskatchewan	Canada	ca	105891964	-6:00	X
Balgonie	Saskatchewan	Canada	ca	105892190	-6:00	X
Bengough	Saskatchewan	Canada	ca	105898304	-6:00	X
Bethune	Saskatchewan	Canada	ca	105899182	-6:00	X
Bienfait	Saskatchewan	Canada	ca	105899466	-6:00	X
Birch Hills	Saskatchewan	Canada	ca	105901447	-6:00	X
Bjorkdale	Saskatchewan	Canada	ca	105902121	-6:00	X
Bredenbury	Saskatchewan	Canada	ca	105908337	-6:00	X
Briercrest	Saskatchewan	Canada	ca	105908749	-6:00	X
Broadview	Saskatchewan	Canada	ca	105909230	-6:00	X
B-Say-Tah	Saskatchewan	Canada	ca	105910437	-6:00	X
Buchanan	Saskatchewan	Canada	ca	105910456	-6:00	X
Buena Vista	Saskatchewan	Canada	ca	105910803	-6:00	X
Candle Lake	Saskatchewan	Canada	ca	105914836	-6:00	X
Canora	Saskatchewan	Canada	ca	105915098	-6:00	X
Carievale	Saskatchewan	Canada	ca	105917116	-6:00	X
Carlyle	Saskatchewan	Canada	ca	105917262	-6:00	X
Carnduff	Saskatchewan	Canada	ca	105917349	-6:00	X
Carrot River	Saskatchewan	Canada	ca	105917605	-6:00	X
Choiceland	Saskatchewan	Canada	ca	105921706	-6:00	X
Churchbridge	Saskatchewan	Canada	ca	105922073	-6:00	X
Codette	Saskatchewan	Canada	ca	105924760	-6:00	X
Craven	Saskatchewan	Canada	ca	105931955	-6:00	X
Creighton	Saskatchewan	Canada	ca	105932161	-6:00	X
Cumberland House	Saskatchewan	Canada	ca	105933900	-6:00	X
Cupar	Saskatchewan	Canada	ca	105934031	-6:00	X
Denare Beach	Saskatchewan	Canada	ca	105937747	-6:00	X
Drake	Saskatchewan	Canada	ca	105942479	-6:00	X
Dysart	Saskatchewan	Canada	ca	105944632	-6:00	X
Earl Grey	Saskatchewan	Canada	ca	105944959	-6:00	X
Ebenezer	Saskatchewan	Canada	ca	105946312	-6:00	X
Edenwold	Saskatchewan	Canada	ca	105946614	-6:00	X
Endeavour	Saskatchewan	Canada	ca	105948767	-6:00	X
Englefeld	Saskatchewan	Canada	ca	105948842	-6:00	X
Esterhazy	Saskatchewan	Canada	ca	105949563	-6:00	X
Estevan	Saskatchewan	Canada	ca	105949568	-6:00	X
Fillmore	Saskatchewan	Canada	ca	105952703	-6:00	X
Foam Lake	Saskatchewan	Canada	ca	105955084	-6:00	X
Fort Qu'Appelle	Saskatchewan	Canada	ca	105955922	-6:00	X
Fort San	Saskatchewan	Canada	ca	105955947	-6:00	X
Francis	Saskatchewan	Canada	ca	105957285	-6:00	X
Frobisher	Saskatchewan	Canada	ca	105958388	-6:00	X
Gainsborough	Saskatchewan	Canada	ca	105959003	-6:00	X
Gerald	Saskatchewan	Canada	ca	105960590	-6:00	X
Glen Ewen	Saskatchewan	Canada	ca	105961940	-6:00	X
Glenavon	Saskatchewan	Canada	ca	105961828	-6:00	X
Good Spirit Acres	Saskatchewan	Canada	ca	105962971	-6:00	X
Govan	Saskatchewan	Canada	ca	105963873	-6:00	X
Grand Coulee	Saskatchewan	Canada	ca	105964269	-6:00	X
Grayson	Saskatchewan	Canada	ca	105965711	-6:00	X
Grenfell	Saskatchewan	Canada	ca	105966821	-6:00	X
Holdfast	Saskatchewan	Canada	ca	105976043	-6:00	X
Hudson Bay	Saskatchewan	Canada	ca	105978133	-6:00	X
Humboldt	Saskatchewan	Canada	ca	105978404	-6:00	X
Imperial	Saskatchewan	Canada	ca	105982614	-6:00	X
Indian Head	Saskatchewan	Canada	ca	105982839	-6:00	X
Invermay	Saskatchewan	Canada	ca	105983624	-6:00	X
Ituna	Saskatchewan	Canada	ca	105984798	-6:00	X
Jansen	Saskatchewan	Canada	ca	105985770	-6:00	X
Kamsack	Saskatchewan	Canada	ca	105989068	-6:00	X
Kannata Valley	Saskatchewan	Canada	ca	105989246	-6:00	X
Kelliher	Saskatchewan	Canada	ca	105990419	-6:00	X
Kelvington	Saskatchewan	Canada	ca	105990669	-6:00	X
Kennedy	Saskatchewan	Canada	ca	105990851	-6:00	X
Kenosee Lake	Saskatchewan	Canada	ca	105991062	-6:00	X
Kinistino	Saskatchewan	Canada	ca	105992554	-6:00	X
Kipling	Saskatchewan	Canada	ca	105992724	-6:00	X
Kisbey	Saskatchewan	Canada	ca	105992904	-6:00	X
Kronau	Saskatchewan	Canada	ca	105994252	-6:00	X
Lake Lenore	Saskatchewan	Canada	ca	106048472	-6:00	X
Lampman	Saskatchewan	Canada	ca	106049112	-6:00	X
Lang	Saskatchewan	Canada	ca	106049345	-6:00	X
Langenburg	Saskatchewan	Canada	ca	106049379	-6:00	X
Lanigan	Saskatchewan	Canada	ca	106049515	-6:00	X
Lebret	Saskatchewan	Canada	ca	106051330	-6:00	X
Lemberg	Saskatchewan	Canada	ca	106052153	-6:00	X
Leroy	Saskatchewan	Canada	ca	106052683	-6:00	X
Lestock	Saskatchewan	Canada	ca	106053056	-6:00	X
Lintlaw	Saskatchewan	Canada	ca	106054535	-6:00	X
Lipton	Saskatchewan	Canada	ca	106054615	-6:00	X
Lumsden	Saskatchewan	Canada	ca	106061979	-6:00	X
Macoun	Saskatchewan	Canada	ca	106063718	-6:00	X
Manitou Beach	Saskatchewan	Canada	ca	106065192	-6:00	X
Manor	Saskatchewan	Canada	ca	106065395	-6:00	X
Maryfield	Saskatchewan	Canada	ca	106067347	-6:00	X
McLean	Saskatchewan	Canada	ca	106070472	-6:00	X
Meath Park	Saskatchewan	Canada	ca	106071571	-6:00	X
Melfort	Saskatchewan	Canada	ca	106071876	-6:00	X
Melville	Saskatchewan	Canada	ca	106071971	-6:00	X
Midale	Saskatchewan	Canada	ca	106072816	-6:00	X
Middle Lake	Saskatchewan	Canada	ca	106073098	-6:00	X
Milestone	Saskatchewan	Canada	ca	106073645	-6:00	X
Montmartre	Saskatchewan	Canada	ca	106077157	-6:00	X
Moosomin	Saskatchewan	Canada	ca	106078359	-6:00	X
Muenster	Saskatchewan	Canada	ca	106083893	-6:00	X
Naicam	Saskatchewan	Canada	ca	106085582	-6:00	X
Neudorf	Saskatchewan	Canada	ca	106087293	-6:00	X
Nipawin	Saskatchewan	Canada	ca	106088469	-6:00	X
Nokomis	Saskatchewan	Canada	ca	106088895	-6:00	X
Norquay	Saskatchewan	Canada	ca	106089261	-6:00	X
North Portal	Saskatchewan	Canada	ca	106090466	-6:00	X
Odessa	Saskatchewan	Canada	ca	106092581	-6:00	X
Ogema	Saskatchewan	Canada	ca	106092735	-6:00	X
Oxbow	Saskatchewan	Canada	ca	106095751	-6:00	X
Pangman	Saskatchewan	Canada	ca	106096544	-6:00	X
Pasqua Lake	Saskatchewan	Canada	ca	106098986	-6:00	X
Pelican Narrows	Saskatchewan	Canada	ca	106100681	-6:00	X
Pelly	Saskatchewan	Canada	ca	106100757	-6:00	X
Pense	Saskatchewan	Canada	ca	106101124	-6:00	X
Pilot Butte	Saskatchewan	Canada	ca	106104745	-6:00	X
Porcupine Plain	Saskatchewan	Canada	ca	106111175	-6:00	X
Preeceville	Saskatchewan	Canada	ca	106112862	-6:00	X
Punnichy	Saskatchewan	Canada	ca	106114218	-6:00	X
Qu'Appelle	Saskatchewan	Canada	ca	106114889	-6:00	X
Quill Lake	Saskatchewan	Canada	ca	106115274	-6:00	X
Radville	Saskatchewan	Canada	ca	106115725	-6:00	X
Raymore	Saskatchewan	Canada	ca	106117705	-6:00	X
Redvers	Saskatchewan	Canada	ca	106118785	-6:00	X
Regina	Saskatchewan	Canada	ca	106119109	-6:00	X
Regina Beach	Saskatchewan	Canada	ca	106119113	-6:00	X
Rhein	Saskatchewan	Canada	ca	106121721	-6:00	X
Rocanville	Saskatchewan	Canada	ca	106125913	-6:00	X
Roche Percee	Saskatchewan	Canada	ca	106125970	-6:00	X
Rose Valley	Saskatchewan	Canada	ca	106127761	-6:00	X
Rouleau	Saskatchewan	Canada	ca	106128122	-6:00	X
Saltcoats	Saskatchewan	Canada	ca	106139684	-6:00	X
Sandy Bay	Saskatchewan	Canada	ca	106140599	-6:00	X
Saskatchewan Beach	Saskatchewan	Canada	ca	106141243	-6:00	X
Sedley	Saskatchewan	Canada	ca	106143713	-6:00	X
Semans	Saskatchewan	Canada	ca	106144129	-6:00	X
Sheho	Saskatchewan	Canada	ca	106145861	-6:00	X
Simpson	Saskatchewan	Canada	ca	106148104	-6:00	X
Smeaton	Saskatchewan	Canada	ca	106149823	-6:00	X
Southey	Saskatchewan	Canada	ca	106152123	-6:00	X
Spalding	Saskatchewan	Canada	ca	106153098	-6:00	X
Springside	Saskatchewan	Canada	ca	106154277	-6:00	X
Spy Hill	Saskatchewan	Canada	ca	106154612	-6:00	X
St. Brieux	Saskatchewan	Canada	ca	106155718	-6:00	X
Star City	Saskatchewan	Canada	ca	106155387	-6:00	X
Stockholm	Saskatchewan	Canada	ca	106157138	-6:00	X
Stoughton	Saskatchewan	Canada	ca	106157721	-6:00	X
Strasbourg	Saskatchewan	Canada	ca	106157964	-6:00	X
Sturgis	Saskatchewan	Canada	ca	106158637	-6:00	X
Theodore	Saskatchewan	Canada	ca	106164443	-6:00	X
Tisdale	Saskatchewan	Canada	ca	106166987	-6:00	X
Torquay	Saskatchewan	Canada	ca	106167888	-6:00	X
Vibank	Saskatchewan	Canada	ca	106173986	-6:00	X
Wadena	Saskatchewan	Canada	ca	106174914	-6:00	X
Wapella	Saskatchewan	Canada	ca	106175945	-6:00	X
Watrous	Saskatchewan	Canada	ca	106176928	-6:00	X
Watson	Saskatchewan	Canada	ca	106176933	-6:00	X
Wawota	Saskatchewan	Canada	ca	106177250	-6:00	X
Weldon	Saskatchewan	Canada	ca	106177846	-6:00	X
Welwyn	Saskatchewan	Canada	ca	106178036	-6:00	X
Weyburn	Saskatchewan	Canada	ca	106179652	-6:00	X
White City	Saskatchewan	Canada	ca	106180266	-6:00	X
White Fox	Saskatchewan	Canada	ca	106180428	-6:00	X
Whitewood	Saskatchewan	Canada	ca	106181212	-6:00	X
Wilcox	Saskatchewan	Canada	ca	106181679	-6:00	X
Windthorst	Saskatchewan	Canada	ca	106183003	-6:00	X
Wolseley	Saskatchewan	Canada	ca	106183885	-6:00	X
Wynyard	Saskatchewan	Canada	ca	106185021	-6:00	X
Yellow Grass	Saskatchewan	Canada	ca	106185353	-6:00	X
Yorkton	Saskatchewan	Canada	ca	106185607	-6:00	X
Zenon Park	Saskatchewan	Canada	ca	106186028	-6:00	X
Abbey	Saskatchewan	Canada	ca	105881774	-6:00	X
Aberdeen	Saskatchewan	Canada	ca	105881868	-6:00	X
Allan	Saskatchewan	Canada	ca	105883752	-6:00	X
Alsask	Saskatchewan	Canada	ca	105884208	-6:00	X
Asquith	Saskatchewan	Canada	ca	105887765	-6:00	X
Assiniboia	Saskatchewan	Canada	ca	105887798	-6:00	X
Beaver Creek	Saskatchewan	Canada	ca	105896700	-6:00	X
Beechy	Saskatchewan	Canada	ca	105897469	-6:00	X
Biggar	Saskatchewan	Canada	ca	105899982	-6:00	X
Blaine Lake	Saskatchewan	Canada	ca	105903504	-6:00	X
Borden	Saskatchewan	Canada	ca	105905878	-6:00	X
Bradwell	Saskatchewan	Canada	ca	105907256	-6:00	X
Brock	Saskatchewan	Canada	ca	105909254	-6:00	X
Bruno	Saskatchewan	Canada	ca	105910266	-6:00	X
Burstall	Saskatchewan	Canada	ca	105912226	-6:00	X
Cabri	Saskatchewan	Canada	ca	105913030	-6:00	X
Canwood	Saskatchewan	Canada	ca	105915182	-6:00	X
Caron	Saskatchewan	Canada	ca	105917421	-6:00	X
Caronport	Saskatchewan	Canada	ca	105917430	-6:00	X
Cedar Villa Estates	Saskatchewan	Canada	ca	105918926	-6:00	X
Central Butte	Saskatchewan	Canada	ca	105919016	-6:00	X
Chaplin	Saskatchewan	Canada	ca	105919937	-6:00	X
Christopher Lake	Saskatchewan	Canada	ca	105921946	-6:00	X
Clavet	Saskatchewan	Canada	ca	105923399	-6:00	X
Climax	Saskatchewan	Canada	ca	105924007	-6:00	X
Coleville	Saskatchewan	Canada	ca	105925240	-6:00	X
Colonsay	Saskatchewan	Canada	ca	105926129	-6:00	X
Conquest	Saskatchewan	Canada	ca	105926901	-6:00	X
Coronach	Saskatchewan	Canada	ca	105928098	-6:00	X
Craik	Saskatchewan	Canada	ca	105931568	-6:00	X
Cudworth	Saskatchewan	Canada	ca	105933765	-6:00	X
Dalmeny	Saskatchewan	Canada	ca	105934709	-6:00	X
Davidson	Saskatchewan	Canada	ca	105935486	-6:00	X
Debden	Saskatchewan	Canada	ca	105936333	-6:00	X
Delisle	Saskatchewan	Canada	ca	105937538	-6:00	X
Dinsmore	Saskatchewan	Canada	ca	105939508	-6:00	X
Dodsland	Saskatchewan	Canada	ca	105940611	-6:00	X
Domremy	Saskatchewan	Canada	ca	105941452	-6:00	X
Duck Lake	Saskatchewan	Canada	ca	105943309	-6:00	X
Dundurn	Saskatchewan	Canada	ca	105944013	-6:00	X
Eastend	Saskatchewan	Canada	ca	105945364	-6:00	X
Eatonia	Saskatchewan	Canada	ca	105946259	-6:00	X
Elbow	Saskatchewan	Canada	ca	105947325	-6:00	X
Elrose	Saskatchewan	Canada	ca	105948124	-6:00	X
Eston	Saskatchewan	Canada	ca	105949601	-6:00	X
Eyebrow	Saskatchewan	Canada	ca	105950760	-6:00	X
Fox Valley	Saskatchewan	Canada	ca	105957175	-6:00	X
Frontier	Saskatchewan	Canada	ca	105958512	-6:00	X
Furdale	Saskatchewan	Canada	ca	105958782	-6:00	X
Gravelbourg	Saskatchewan	Canada	ca	105965462	-6:00	X
Gull Lake	Saskatchewan	Canada	ca	105967988	-6:00	X
Hafford	Saskatchewan	Canada	ca	105968839	-6:00	X
Hague	Saskatchewan	Canada	ca	105968919	-6:00	X
Hanley	Saskatchewan	Canada	ca	105970216	-6:00	X
Harris	Saskatchewan	Canada	ca	105971273	-6:00	X
Hepburn	Saskatchewan	Canada	ca	105974057	-6:00	X
Herbert	Saskatchewan	Canada	ca	105974093	-6:00	X
Hodgeville	Saskatchewan	Canada	ca	105975777	-6:00	X
Kenaston	Saskatchewan	Canada	ca	105990752	-6:00	X
Kerrobert	Saskatchewan	Canada	ca	105991284	-6:00	X
Kincaid	Saskatchewan	Canada	ca	105992138	-6:00	X
Kindersley	Saskatchewan	Canada	ca	105992154	-6:00	X
Kyle	Saskatchewan	Canada	ca	105994696	-6:00	X
Lafleche	Saskatchewan	Canada	ca	106047858	-6:00	X
Laird	Saskatchewan	Canada	ca	106048197	-6:00	X
Landis	Saskatchewan	Canada	ca	106049244	-6:00	X
Langham	Saskatchewan	Canada	ca	106049403	-6:00	X
Leader	Saskatchewan	Canada	ca	106051040	-6:00	X
Leask	Saskatchewan	Canada	ca	106051177	-6:00	X
Limerick	Saskatchewan	Canada	ca	106054138	-6:00	X
Lucky Lake	Saskatchewan	Canada	ca	106061838	-6:00	X
Mankota	Saskatchewan	Canada	ca	106065271	-6:00	X
Maple Creek	Saskatchewan	Canada	ca	106065592	-6:00	X
Marcelin	Saskatchewan	Canada	ca	106065943	-6:00	X
Martensville	Saskatchewan	Canada	ca	106067033	-6:00	X
Maymont	Saskatchewan	Canada	ca	106068383	-6:00	X
Milden	Saskatchewan	Canada	ca	106073558	-6:00	X
Moose Jaw	Saskatchewan	Canada	ca	106078112	-6:00	X
Morse	Saskatchewan	Canada	ca	106078954	-6:00	X
Mortlach	Saskatchewan	Canada	ca	106078998	-6:00	X
Mossbank	Saskatchewan	Canada	ca	106079264	-6:00	X
Neuanlage	Saskatchewan	Canada	ca	106087288	-6:00	X
Neuhorst	Saskatchewan	Canada	ca	106087305	-6:00	X
Osler	Saskatchewan	Canada	ca	106094642	-6:00	X
Outlook	Saskatchewan	Canada	ca	106095416	-6:00	X
Paddockwood	Saskatchewan	Canada	ca	106096003	-6:00	X
Parkside	Saskatchewan	Canada	ca	106098622	-6:00	X
Pennant	Saskatchewan	Canada	ca	106101009	-6:00	X
Perdue	Saskatchewan	Canada	ca	106101300	-6:00	X
Plenty	Saskatchewan	Canada	ca	106106387	-6:00	X
Ponteix	Saskatchewan	Canada	ca	106110051	-6:00	X
Prelate	Saskatchewan	Canada	ca	106112879	-6:00	X
Prince Albert	Saskatchewan	Canada	ca	106113335	-6:00	X
Radisson	Saskatchewan	Canada	ca	106115705	-6:00	X
Richmound	Saskatchewan	Canada	ca	106122114	-6:00	X
Riverhurst	Saskatchewan	Canada	ca	106122668	-6:00	X
Rockglen	Saskatchewan	Canada	ca	106126307	-6:00	X
Rosetown	Saskatchewan	Canada	ca	106127749	-6:00	X
Rosthern	Saskatchewan	Canada	ca	106128008	-6:00	X
Saskatoon	Saskatchewan	Canada	ca	106141256	-6:00	X
Shaunavon	Saskatchewan	Canada	ca	106145425	-6:00	X
Shell Lake	Saskatchewan	Canada	ca	106145984	-6:00	X
Shellbrook	Saskatchewan	Canada	ca	106145951	-6:00	X
Shields	Saskatchewan	Canada	ca	106146342	-6:00	X
St. Louis	Saskatchewan	Canada	ca	106157004	-6:00	X
Sun Valley	Saskatchewan	Canada	ca	106159772	-6:00	X
Swift Current	Saskatchewan	Canada	ca	106160603	-6:00	X
Thode	Saskatchewan	Canada	ca	106165288	-6:00	X
Timber Bay	Saskatchewan	Canada	ca	106166649	-6:00	X
Tompkins	Saskatchewan	Canada	ca	106167524	-6:00	X
Val Marie	Saskatchewan	Canada	ca	106173236	-6:00	X
Vanguard	Saskatchewan	Canada	ca	106173385	-6:00	X
Vanscoy	Saskatchewan	Canada	ca	106173456	-6:00	X
Viscount	Saskatchewan	Canada	ca	106174515	-6:00	X
Vonda	Saskatchewan	Canada	ca	106174638	-6:00	X
Wakaw	Saskatchewan	Canada	ca	106175101	-6:00	X
Waldeck	Saskatchewan	Canada	ca	106175177	-6:00	X
Waldheim	Saskatchewan	Canada	ca	106175195	-6:00	X
Warman	Saskatchewan	Canada	ca	106176226	-6:00	X
Wilkie	Saskatchewan	Canada	ca	106182001	-6:00	X
Willow Bunch	Saskatchewan	Canada	ca	106182389	-6:00	X
Wymark	Saskatchewan	Canada	ca	106184995	-6:00	X
Young	Saskatchewan	Canada	ca	106185628	-6:00	X
Stony Rapids	Saskatchewan	Canada	ca	106157570	-7:00	X
Beaver Creek	Yukon	Canada	ca	106354909	-8:00	
Dawson	Yukon	Canada	ca	105935790	-8:00	
Mayo	Yukon	Canada	ca	106068416	-8:00	
Carcross	Yukon	Canada	ca	105916754	-8:00	
Carmacks	Yukon	Canada	ca	105917270	-8:00	
Faro	Yukon	Canada	ca	105951659	-8:00	
Haines Junction	Yukon	Canada	ca	105969025	-8:00	
Ibex Valley	Yukon	Canada	ca	105979163	-8:00	
Tagish	Yukon	Canada	ca	106161091	-8:00	
Teslin	Yukon	Canada	ca	106163081	-8:00	
Upper Liard	Yukon	Canada	ca	106172408	-8:00	
Watson Lake	Yukon	Canada	ca	106176992	-8:00	
Whitehorse	Yukon	Canada	ca	106180550	-8:00	
Aklavik	Northwest Territories	Canada	ca	105882953	-7:00	X
Fort McPherson	Northwest Territories	Canada	ca	105955898	-7:00	X
Inuvik	Northwest Territories	Canada	ca	105983607	-7:00	X
Norman Wells	Northwest Territories	Canada	ca	106089245	-7:00	X
Tuktoyaktuk	Northwest Territories	Canada	ca	106170031	-7:00	X
Tulita	Northwest Territories	Canada	ca	106170056	-7:00	X
Fort Liard	Northwest Territories	Canada	ca	105955887	-7:00	X
Fort Simpson	Northwest Territories	Canada	ca	105955953	-7:00	X
Holman	Northwest Territories	Canada	ca	105976257	-7:00	X
Paulatuk	Northwest Territories	Canada	ca	106099793	-7:00	X
Sachs Harbour	Northwest Territories	Canada	ca	106137052	-7:00	X
Fort Smith	Northwest Territories	Canada	ca	105955954	-7:00	X
Hay River	Northwest Territories	Canada	ca	105972762	-7:00	X
Yellowknife	Northwest Territories	Canada	ca	106185377	-7:00	X
Arctic Bay	Nunavut	Canada	ca	105886735		
Cambridge Bay	Nunavut	Canada	ca	105913698		
Gjoa Haven	Nunavut	Canada	ca	105961560		
Grise Fiord	Nunavut	Canada	ca	105967230
Resolute	Nunavut	Canada	ca	106121522
Taloyoak	Nunavut	Canada	ca	106161366
Cape Dorset	Nunavut	Canada	ca	105915732
Coral Harbour	Nunavut	Canada	ca	105927708
Hall Beach	Nunavut	Canada	ca	105969475
Igloolik	Nunavut	Canada	ca	105979345
Kugaaruk	Nunavut	Canada	ca	105994330
Repulse Bay	Nunavut	Canada	ca	106119528
Sanikiluaq	Nunavut	Canada	ca	106140995
Kugluktuk	Nunavut	Canada	ca	105994339
Iqaluit	Nunavut	Canada	ca	105983720
Kimmirut	Nunavut	Canada	ca	105992095
Clyde River	Nunavut	Canada	ca	105924351
Pangnirtung	Nunavut	Canada	ca	106096551
Pond Inlet	Nunavut	Canada	ca	106109205
Qikiqtarjuaq	Nunavut	Canada	ca	106114685
Arviat	Nunavut	Canada	ca	105887448
Baker Lake	Nunavut	Canada	ca	105891871
Chesterfield Inlet	Nunavut	Canada	ca	105921048
Rankin Inlet	Nunavut	Canada	ca	106116548
Whale Cove	Nunavut	Canada	ca	106179724
Abbeville	Alabama	USA	us	104829449	-06:00	DSTUS
Adamsville	Alabama	USA	us	104829588	-06:00	DSTUS
Alabaster	Alabama	USA	us	104829762	-06:00	DSTUS
Albertville	Alabama	USA	us	104829791	-06:00	DSTUS
Alexander City	Alabama	USA	us	104829843	-06:00	DSTUS
Alexandria	Alabama	USA	us	104829861	-06:00	DSTUS
Aliceville	Alabama	USA	us	104829885	-06:00	DSTUS
Andalusia	Alabama	USA	us	104830099	-06:00	DSTUS
Anniston	Alabama	USA	us	104830198	-06:00	DSTUS
Arab	Alabama	USA	us	104830455	-06:00	DSTUS
Ashville	Alabama	USA	us	104830707	-06:00	DSTUS
Athens	Alabama	USA	us	104830668	-06:00	DSTUS
Atmore	Alabama	USA	us	104830759	-06:00	DSTUS
Attalla	Alabama	USA	us	104830768	-06:00	DSTUS
Auburn	Alabama	USA	us	104830796	-06:00	DSTUS
Bay Minette	Alabama	USA	us	104046255	-06:00	DSTUS
Bayou La Batre	Alabama	USA	us	104046319	-06:00	DSTUS
Bessemer	Alabama	USA	us	104048023	-06:00	DSTUS
Birmingham	Alabama	USA	us	104049979	-06:00	DSTUS
Boaz	Alabama	USA	us	104051059	-06:00	DSTUS
Brent	Alabama	USA	us	104051669	-06:00	DSTUS
Brewton	Alabama	USA	us	104051714	-06:00	DSTUS
Bridgeport	Alabama	USA	us	104051774	-06:00	DSTUS
Brighton	Alabama	USA	us	104047198	-06:00	DSTUS
Brundidge	Alabama	USA	us	104052177	-06:00	DSTUS
Cahaba Heights	Alabama	USA	us	104052964	-06:00	DSTUS
Calera	Alabama	USA	us	104053050	-06:00	DSTUS
Camden	Alabama	USA	us	104053200	-06:00	DSTUS
Center Point	Alabama	USA	us	104054378	-06:00	DSTUS
Centre	Alabama	USA	us	104054555	-06:00	DSTUS
Centreville	Alabama	USA	us	104054566	-06:00	DSTUS
Chalkville	Alabama	USA	us	104054593	-06:00	DSTUS
Chelsea	Alabama	USA	us	104054852	-06:00	DSTUS
Chickasaw	Alabama	USA	us	104054996	-06:00	DSTUS
Childersburg	Alabama	USA	us	104055045	-06:00	DSTUS
Citronelle	Alabama	USA	us	104055535	-06:00	DSTUS
Clanton	Alabama	USA	us	104055577	-06:00	DSTUS
Clay	Alabama	USA	us	104055650	-06:00	DSTUS
Clio	Alabama	USA	us	104055879	-06:00	DSTUS
Columbiana	Alabama	USA	us	104056427	-06:00	DSTUS
Cordova	Alabama	USA	us	104056920	-06:00	DSTUS
Cullman	Alabama	USA	us	104057835	-06:00	DSTUS
Dadeville	Alabama	USA	us	104058027	-06:00	DSTUS
Daleville	Alabama	USA	us	104058061	-06:00	DSTUS
Daphne	Alabama	USA	us	104058219	-06:00	DSTUS
Decatur	Alabama	USA	us	104058553	-06:00	DSTUS
Demopolis	Alabama	USA	us	104058662	-06:00	DSTUS
Dora	Alabama	USA	us	104059070	-06:00	DSTUS
Dothan	Alabama	USA	us	104059102	-06:00	DSTUS
East Brewton	Alabama	USA	us	104059831	-06:00	DSTUS
East Florence	Alabama	USA	us	104059870	-06:00	DSTUS
Elba	Alabama	USA	us	104828081	-06:00	DSTUS
Enterprise	Alabama	USA	us	104060791	-06:00	DSTUS
Eufaula	Alabama	USA	us	104060954	-06:00	DSTUS
